Codice,Descrizione
64.21.00,Attività delle società di partecipazione (holding)
64.22.00,Attività dei conduit di finanziamento
64.31.00,Attività dei fondi di investimento del mercato monetario e del mercato non monetario
64.32.00,"Attività di conti fiduciari, per la gestione dell'eredità e di agenzia"
64.91.00,Leasing finanziario
64.92.10,Attività di factoring
64.92.91,Altre attività di concessione del credito fornite dai consorzi di garanzia collettiva fidi
64.92.99,Altre attività varie di concessione del credito n.c.a.
64.99.00,"Altre attività di servizi finanziari, ad esclusione di assicurazioni e fondi pensione n.c.a."
65.11.00,Assicurazioni sulla vita
65.12.00,Assicurazioni diverse da quelle sulla vita
65.20.00,Riassicurazioni
65.30.00,Fondi pensione
66.11.00,Amministrazione di mercati finanziari
66.12.00,Attività di negoziazione di contratti relativi a titoli e merci
66.19.10,Attività di elaborazione e liquidazione delle transazioni finanziarie tramite carta di credito
66.19.21,Attività di consulenza finanziaria fornite da consulenti finanziari abilitati all'offerta fuori sede
66.19.22,Altre attività di consulenza finanziaria
66.19.90,"Altre attività ausiliarie dei servizi finanziari n.c.a., escluse assicurazioni e fondi pensione"
66.21.00,Valutazione dei rischi e dei danni
66.22.00,Attività di agenti e intermediari delle assicurazioni
66.29.01,Attività di vigilanza su assicurazioni e fondi pensione
66.29.09,Altre attività ausiliarie delle assicurazioni e dei fondi pensione n.c.a.
66.30.01,"Gestione di organismi di investimento collettivo del risparmio, fondi pensione e portafogli"
66.30.02,Servizi di gestione di trust
66.30.03,Servizi fiduciari e di custodia
68.11.00,Compravendita di beni immobili effettuata su beni propri
68.12.00,Sviluppo di progetti immobiliari
68.20.01,Affitto e gestione di terreni per telecomunicazioni propri o in locazione
68.20.02,"Affitto e gestione di altri terreni ed edifici non residenziali, impianti e fabbriche propri o in locazione"
68.20.09,Affitto e gestione di beni immobili propri o in locazione n.c.a.
68.31.00,Attività di servizi di intermediazione per attività immobiliari
68.32.01,Gestione di beni immobili per conto terzi
68.32.09,Altre attività immobiliari per conto terzi n.c.a.
69.10.10,Attività legali e giuridiche
69.10.20,Attività notarili
69.10.30,"Attività di supporto alle attività legali, giuridiche e notarili"
69.20.01,Attività di commercialisti
69.20.02,Attività di revisori legali in ambito contabile
69.20.03,Attività di esperti contabili
69.20.04,Attività di consulenti del lavoro
69.20.05,Attività di altri soggetti simili in materia di contabilità delle retribuzioni e buste paga
69.20.06,"Attività di altri consulenti, periti e altri soggetti simili in ambito tributario e contabile"
69.20.07,Attività di centri di assistenza fiscale
70.10.00,Attività di sedi centrali
70.20.01,Attività di consulenza in materia di logistica
70.20.02,Attività di certificazione di processi
70.20.09,Consulenza imprenditoriale e altre attività di consulenza gestionale n.c.a.
71.11.01,"Progettazione, pianificazione e supervisione di scavi archeologici"
71.11.09,Attività di architettura n.c.a.
71.12.10,Attività di ingegneria
71.12.20,Gestione di progetti relativi a opere di ingegneria integrata
71.12.30,Elaborazione e supervisione di progetti da parte di geometri
71.12.40,Attività di cartografia e aerofotogrammetria
71.12.50,"Attività di geologia, di prospezione geognostica e mineraria"
71.20.11,Collaudi e analisi tecniche per indagini archeologiche
71.20.19,Altri collaudi e analisi tecniche di prodotti
71.20.21,Attività di riconoscimento dell'origine dei prodotti
71.20.22,Revisione periodica a norma di legge dell'idoneità alla circolazione di autoveicoli e motocicli
71.20.29,Altre attività di controllo di qualità e certificazione di prodotti
72.10.10,Ricerca e sviluppo sperimentale nel campo delle biotecnologie
72.10.21,Ricerca e sviluppo sperimentale nel campo della geologia
72.10.22,Ricerca e sviluppo sperimentale nel campo della diagnostica per la conservazione dei beni culturali
72.10.29,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria n.c.a.
72.20.01,Ricerca e sviluppo sperimentale nel campo dell'archeologia
72.20.09,Ricerca e sviluppo sperimentale nel campo delle altre scienze sociali e umanistiche
73.11.01,Ideazione di campagne pubblicitarie
73.11.02,Conduzione di campagne di marketing e altri servizi pubblicitari
73.11.03,Attività di influencer marketing
73.12.00,Attività di concessionarie pubblicitarie
73.20.00,Ricerche di mercato e sondaggi di opinione
73.30.01,Attività di rappresentanza di interessi
73.30.02,Attività di informazione scientifica inerente prodotti farmaceutici e articoli medicali per scopi promozionali
73.30.03,Attività di promozione di altri prodotti
73.30.09,Pubbliche relazioni e comunicazione n.c.a.
74.11.10,Attività di progettazione di prodotti industriali
74.11.20,Attività di progettazione di moda
74.12.01,Grafica di pagine web
74.12.09,Altre attività di progettazione grafica e di comunicazione visiva
74.13.00,Attività di progettazione di interni
74.14.01,Attività di progettazione specializzata fornite da disegnatori tecnici
74.14.09,Altre attività di progettazione specializzata n.c.a.
74.20.11,Attività fotografiche fornite da fotoreporter
74.20.12,Attività fotografiche aeree e subacquee
74.20.19,Altre attività fotografiche specializzate
74.20.20,Attività di sviluppo e stampa e altre attività fotografiche
74.30.00,Attività di traduzione e interpretariato
74.91.00,Attività di servizi di intermediazione e marketing di brevetti
74.99.11,Attività di consulenza agraria fornite da agronomi
74.99.12,Attività di consulenza agraria fornite da agrotecnici
74.99.13,Attività di consulenza agraria fornite da periti agrari
74.99.14,Attività di consulenza agraria fornite da altri economisti specializzati in agricoltura
74.99.15,Attività di consulenza agraria viticolo enologica fornite da enologi
74.99.16,Attività di consulenza agraria viticolo enologica fornite da enotecnici
74.99.19,Altre attività di consulenza agraria n.c.a.
74.99.21,Attività di consulenza in materia di sicurezza e salute dei posti di lavoro
74.99.29,Altre attività di consulenza in materia di sicurezza
74.99.31,Attività di consulenza in materia di prevenzione e riduzione dell'inquinamento e di gestione dei rifiuti
74.99.32,"Attività di consulenza in materia di gestione delle risorse energetiche, energie rinnovabili ed efficienza"
74.99.33,"Attività di consulenza in materia di gestione delle risorse idriche, minerali e altre risorse naturali per usi"
74.99.41,Attività di consulenza fornite da enotecari e sommelier
74.99.42,Attività di consulenza in gastronomia
74.99.91,Attività tecniche svolte da periti industriali
74.99.92,Attività di previsione meteorologica
74.99.93,"Attività di agenzie, agenti e procuratori per lo spettacolo e lo sport"
74.99.94,Attività di consulenza tecnica in ambito grafologico
74.99.99,"Tutte le altre attività varie professionali, scientifiche e tecniche n.c.a."
75.00.00,Servizi veterinari
77.11.00,Noleggio e leasing operativo di automobili e autoveicoli leggeri
77.12.00,Noleggio e leasing operativo di autocarri
77.21.01,Noleggio e leasing operativo di biciclette
77.21.02,Noleggio e leasing operativo di imbarcazioni da diporto senza operatore
77.21.09,Noleggio e leasing operativo di altre attrezzature e articoli sportivi e ricreativi
77.22.10,"Noleggio e leasing operativo di tessili, articoli di abbigliamento e calzature"
77.22.90,Noleggio e leasing operativo di altri beni per uso personale e per la casa n.c.a.
77.31.00,Noleggio e leasing operativo di macchine e attrezzature agricole
77.32.00,Noleggio e leasing operativo di macchine e attrezzature per lavori edili e di ingegneria civile
77.33.00,"Noleggio e leasing operativo di macchine, attrezzature e computer per ufficio"
77.34.00,"Noleggio e leasing operativo di mezzi di trasporto marittimi, fluviali e lacustri"
77.35.00,Noleggio e leasing operativo di mezzi di trasporto aereo
77.39.10,Noleggio e leasing operativo di altri mezzi di trasporto terrestre
77.39.91,Noleggio e leasing operativo di apparecchi di sollevamento e movimentazione merci
77.39.92,Noleggio e leasing operativo di strutture e attrezzature per manifestazioni e spettacoli
77.39.99,"Noleggio e leasing operativo di altre macchine, attrezzature e beni materiali vari n.c.a."
77.40.00,"Concessione dei diritti di sfruttamento di proprietà intellettuale, escluse le opere soggette a diritto d'autore"
77.51.00,"Attività di servizi di intermediazione per il noleggio e il leasing operativo di automobili, autocaravan e"
77.52.00,Attività di servizi di intermediazione per il noleggio e il leasing operativo di altri beni materiali e beni
78.10.00,Attività di agenzie di collocamento
78.20.00,Attività di agenzie di lavoro interinale e altre attività di fornitura di risorse umane
79.11.00,Attività di agenzie di viaggio
79.12.00,Attività di tour operator
79.90.01,Servizi di guida turistica
79.90.02,Servizi di accompagnamento in ambiente naturale
79.90.03,Altri servizi di accompagnamento turistico
79.90.04,Altre attività di assistenza turistica
80.01.11,Attività di investigazione in ambito privato
80.01.12,Attività di investigazione in ambito aziendale e commerciale
80.01.13,Attività di investigazione in ambito assicurativo
80.01.14,Attività di investigazione in ambito legale
80.01.21,Attività di vigilanza privata non armata
80.01.29,Altre attività di vigilanza privata
80.09.00,Attività di vigilanza n.c.a.
81.10.00,Attività di servizi integrati agli edifici
81.21.00,Attività di pulizia generale di edifici
81.22.01,Attività di sterilizzazione di attrezzature mediche
81.22.09,Altre attività di pulizia di edifici e pulizia industriale n.c.a.
81.23.10,"Attività di sanificazione, disinfezione e disinfestazione"
81.23.91,Pulitura delle strade e rimozione di neve e ghiaccio
81.23.99,Altre attività di pulizia varie n.c.a.
81.30.00,Attività di servizi per la cura del paesaggio
82.10.00,Attività amministrative e di supporto per le funzioni di ufficio
82.20.00,Attività dei call center
82.30.01,Organizzazione di conferenze e congressi
82.30.02,Organizzazione di fiere commerciali e di affari
82.30.03,Organizzazione di convegni ed eventi aziendali
82.30.04,Organizzazione di mercati agricoli e fiere dell'artigianato
82.30.09,Organizzazione di altri eventi
82.40.01,"Attività di servizi di prenotazione di biglietti per spettacoli teatrali, sportivi e altri spettacoli di"
82.40.09,Altre attività di servizi di intermediazione per servizi di supporto alle imprese n.c.a.
82.91.10,Attività di recupero crediti
82.91.20,Attività di raccolta e fornitura di informazioni commerciali e di rating
82.92.10,Attività di imballaggio di generi alimentari
82.92.20,Attività di imballaggio di generi non alimentari
82.99.11,Fornitura di assistenza per la registrazione di autoveicoli
82.99.19,Richiesta certificati e disbrigo pratiche n.c.a.
82.99.91,Rilevamento del consumo di calore e acqua calda
82.99.99,Tutti gli altri servizi vari di supporto alle imprese n.c.a.
84.11.10,Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali
84.11.20,Servizi di gestione esattoriale per conto terzi
84.11.30,Attività di pianificazione generale e servizi statistici generali
84.12.10,Regolamentazione dei servizi di assistenza sanitaria
84.12.20,Regolamentazione dei servizi di istruzione
84.12.30,Regolamentazione dei servizi per l'edilizia abitativa e la tutela dell'ambiente
84.12.40,Regolamentazione dei servizi culturali e di altri servizi sociali
84.13.10,"Regolamentazione dei servizi connessi a agricoltura, silvicoltura, caccia e pesca"
84.13.20,Regolamentazione dei servizi connessi a combustibili ed energia
84.13.30,"Regolamentazione dei servizi connessi a industrie estrattive e risorse minerarie, industrie manifatturiere e di"
84.13.40,Regolamentazione dei servizi connessi a trasporti e comunicazioni
84.13.50,"Regolamentazione dei servizi connessi a commercio, servizi di alloggio e ristorazione"
84.13.60,Regolamentazione dei servizi connessi al turismo
84.13.90,Regolamentazione di altri servizi
84.21.00,Affari esteri
84.22.00,Difesa nazionale
84.23.00,Giustizia e attività giudiziarie
84.24.10,Ordine pubblico e sicurezza nazionale delle Forze dell'Ordine
84.24.20,Attività di supporto all'ordine pubblico e alla sicurezza nazionale fornite dalla Protezione Civile
84.25.00,Servizi antincendio
84.30.00,Assicurazione sociale obbligatoria
85.10.00,Istruzione prescolastica
85.20.00,Istruzione primaria
85.31.10,Istruzione secondaria di formazione generale di primo grado
85.31.20,Istruzione secondaria di formazione generale di secondo grado
85.32.01,Istruzione secondaria professionale erogata da scuole di vela e navigazione
85.32.02,Istruzione secondaria professionale erogata da scuole di volo
85.32.03,Istruzione secondaria professionale erogata da scuole di guida
85.32.09,Altra istruzione secondaria professionale n.c.a.
85.33.00,Istruzione post-secondaria non terziaria
85.40.10,Istruzione terziaria non universitaria professionale
85.40.20,"Istruzione terziaria universitaria di primo, secondo e terzo ciclo e a ciclo unico"
85.51.01,Insegnamento di pilates fornito da insegnanti e istruttori indipendenti
85.51.09,Formazione sportiva e ricreativa n.c.a.
85.52.01,Corsi di danza
85.52.02,Attività di educazione al patrimonio culturale
85.52.09,Altra formazione culturale
85.53.00,Attività di scuole guida
85.59.10,Corsi di lingua straniera
85.59.20,Corsi di formazione e corsi di aggiornamento professionale
85.59.30,Altri servizi di istruzione e formazione n.c.a. forniti da università popolari
85.59.91,Corsi di educazione consapevole attraverso il movimento
85.59.99,Tutti gli altri servizi vari di istruzione e formazione n.c.a.
85.61.00,Attività di servizi di intermediazione per corsi e tutor
85.69.01,Consulenza scolastica e servizi di orientamento scolastico
85.69.09,Altri servizi vari di supporto all'istruzione e formazione n.c.a.
86.10.00,Attività ospedaliere
86.21.00,Attività di medicina generale
86.22.01,Trattamenti di chirurgia estetica
86.22.02,Altre attività di medicina specialistica svolte da medici specialisti indipendenti
86.22.03,Altre attività di medicina specialistica svolte presso cliniche e centri specialistici
86.23.00,Attività odontoiatriche
86.91.01,Attività di diagnostica per immagini
86.91.02,Attività di laboratorio medico
86.92.00,Trasporto di pazienti in ambulanza
86.93.00,"Attività di psicologi e psicoterapeuti, esclusi i medici"
86.94.01,Attività infermieristiche
86.94.02,Attività ostetriche
86.95.00,Attività di fisioterapia
86.96.01,Chinesiologia
86.96.09,Attività di medicine complementari e alternative n.c.a.
86.97.00,"Attività di servizi di intermediazione per attività mediche, odontoiatriche e altri servizi per la salute umana"
86.99.01,Tecniche di trattamento del corpo
86.99.02,Danza-movimento terapia
86.99.03,Attività di psicomotricità
86.99.09,Altre attività varie per la salute umana n.c.a.
87.10.00,Attività di assistenza infermieristica residenziale
87.20.00,Attività di assistenza residenziale per persone affette da disturbi mentali o abuso di sostanze
87.30.00,Attività di assistenza residenziale per anziani o persone con disabilità fisiche
87.91.00,Attività di servizi di intermediazione per attività di assistenza residenziale
87.99.00,Altre attività di assistenza residenziale n.c.a.
88.10.00,Attività di assistenza sociale non residenziale per anziani o persone con disabilità
88.91.00,Attività di assistenza diurna per l'infanzia
88.99.01,Servizi di counselling
88.99.02,Consulenza familiare
88.99.03,Mediazione culturale e interculturale
88.99.04,Altre attività di assistenza sociale non residenziale fornite da pedagogisti
88.99.09,Altre attività varie di assistenza sociale non residenziale n.c.a.
90.11.01,Attività di giornalisti indipendenti
90.11.02,Attività di blogger indipendenti
90.11.09,Altre attività di creazione letteraria e composizione musicale
90.12.00,Attività di creazione di arti visive
90.13.00,Altre attività di creazione artistica
90.20.01,Attività nel campo della recitazione
90.20.09,Altre attività di arti performative e rappresentazioni artistiche
90.31.00,Gestione di strutture e spazi per le arti
90.39.01,Attività nel campo della regia
90.39.09,Altre attività di supporto alle arti performative e alle rappresentazioni artistiche n.c.a.
91.11.00,Attività di biblioteche
91.12.00,Attività di archivi
91.21.00,Attività di musei e collezioni
91.22.00,Attività di luoghi e monumenti storici
91.30.01,Conservazione e restauro del patrimonio culturale
91.30.02,Creazione e gestione di apparecchiature multimediali per l'accompagnamento alle visite in musei e altri siti
91.30.09,Altre attività di supporto al patrimonio culturale
91.41.00,Attività di orti botanici e giardini zoologici
91.42.00,Attività di riserve e parchi naturali
92.00.01,Gestione di apparecchi che consentono vincite in denaro funzionanti a moneta o a gettone
92.00.09,"Altre attività di scommesse, lotterie e altri giochi d'azzardo"
93.11.10,Gestione di piscine
93.11.90,Gestione di altri impianti sportivi
93.12.00,Attività dei club sportivi
93.13.01,"Attività di studi di yoga, pilates e Tai Chi"
93.13.09,Altre attività dei centri di fitness
93.19.10,Attività di organizzazioni ed enti sportivi e promozione di eventi sportivi
93.19.91,Attività di ricarica di bombole per attività subacquee
93.19.92,Attività di guida alpina
93.19.93,Attività di guida di pesca
93.19.99,Altre attività sportive varie n.c.a.
93.21.00,Attività dei parchi di divertimento e dei parchi tematici
93.29.10,Gestione di piste e sale da ballo
93.29.20,Gestione di stabilimenti balneari
93.29.30,Gestione di apparecchi da intrattenimento che non consentono vincite in denaro funzionanti a moneta o a
93.29.91,Gestione di attrazioni e attività di spettacolo in forma itinerante
93.29.99,Altre attività varie di intrattenimento e divertimento n.c.a.
94.11.00,Attività di organizzazioni di imprese e dei datori di lavoro
94.12.10,Attività di ordini e collegi professionali
94.12.20,Attività di associazioni professionali
94.20.00,Attività dei sindacati di lavoratori
94.91.00,Attività delle organizzazioni religiose
94.92.00,Attività delle organizzazioni politiche
94.99.10,Attività di organizzazioni associative per la tutela degli interessi e dei diritti dei cittadini
94.99.20,Attività di organizzazioni associative culturali e ricreative
94.99.30,Attività di organizzazioni associative a scopo patriottico
94.99.40,Attività di organizzazioni associative per la cooperazione internazionale
94.99.50,Attività di organizzazioni associative filantropiche
94.99.60,Attività di organizzazioni associative per la promozione e la difesa degli animali e dell'ambiente
94.99.90,Attività di altre organizzazioni associative varie n.c.a.
95.10.10,Riparazione e manutenzione di computer e periferiche
95.10.21,Riparazione e manutenzione di telefoni e tablet
95.10.29,Riparazione e manutenzione di altre apparecchiature per le comunicazioni
95.21.00,Riparazione e manutenzione di prodotti di elettronica di consumo
95.22.01,Riparazione e manutenzione di elettrodomestici
95.22.02,Riparazione e manutenzione di articoli per la casa e il giardinaggio
95.23.00,Riparazione e manutenzione di calzature e articoli in pelle
95.24.01,Rivestimento di mobili e oggetti di arredamento per la casa imbottiti
95.24.09,Altre attività di riparazione e manutenzione di mobili e di oggetti di arredamento per la casa
95.25.00,Riparazione e manutenzione di orologi e gioielli
95.29.10,Riparazione e accordatura di strumenti musicali non storici
95.29.21,Riparazione e manutenzione di biciclette
95.29.22,Riparazione e manutenzione di articoli sportivi e attrezzature da campeggio
95.29.30,Riparazione e modifica di articoli di abbigliamento
95.29.91,"Affilatura di coltelli, servizi di duplicazione di chiavi e di incisione rapida"
95.29.99,Riparazione e manutenzione di altri beni vari per uso personale e per la casa n.c.a.
95.31.10,"Riparazione e manutenzione meccanica, elettrica ed elettronica di autoveicoli"
95.31.20,Riparazione e manutenzione di carrozzerie di autoveicoli
95.31.30,"Riparazione, montaggio o sostituzione di pneumatici e camere d'aria di autoveicoli"
95.31.91,Lavaggio di autoveicoli
95.31.92,Riparazione e manutenzione di cellule abitative per caravan e autocaravan
95.31.99,Altre attività di riparazione e manutenzione di autoveicoli n.c.a.
95.32.00,Riparazione e manutenzione di motocicli
95.40.00,"Attività di servizi di intermediazione per la riparazione e la manutenzione di computer, beni per uso"
96.10.11,"Lavaggio e pulitura di prodotti tessili forniti da lavanderie industriali per industrie, ospedali e altre strutture"
96.10.12,"Lavaggio e pulitura di prodotti tessili forniti da lavanderie industriali per ristorazione, alberghi e altri servizi"
96.10.21,Lavaggio e pulitura di prodotti tessili e pellicce forniti da lavanderie e tintorie tradizionali
96.10.22,Lavaggio e pulitura di prodotti tessili e pellicce forniti da lavanderie self-service
96.21.00,Servizi di parrucchieri e barbieri
96.22.01,Servizi di manicure e pedicure
96.22.09,Altri servizi di cura della bellezza e altri trattamenti di bellezza n.c.a.
96.23.10,Servizi di centri termali
96.23.91,Terapia del sale
96.23.99,"Altri servizi di centri benessere, sauna e bagno di vapore n.c.a."
96.30.01,Servizi di pompe funebri
96.30.02,Servizi di sepoltura
96.30.09,Servizi funerari e attività connesse n.c.a.
96.40.00,Attività di servizi di intermediazione per servizi alla persona
96.91.00,Fornitura di servizi domestici
96.99.11,Servizi di presa in pensione e custodia per animali da compagnia
96.99.12,Servizi di toelettatura per animali da compagnia
96.99.13,Servizi di addestramento per animali da compagnia
96.99.14,Gestione di rifugi per animali
96.99.19,Servizi di cura per animali da compagnia n.c.a.
96.99.91,Attività di studi di tatuaggi e piercing
96.99.92,Servizi di incontro ed eventi simili
96.99.93,Servizi di organizzazione di feste e cerimonie
96.99.94,Servizi di consulenza di immagine
96.99.99,Tutte le altre attività varie di servizi alla persona n.c.a.
97.00.10,Attività di condomini come datori di lavoro per personale domestico
97.00.90,Attività di famiglie e convivenze come datori di lavoro per personale domestico n.c.a.
98.10.00,Produzione di beni indifferenziati per uso proprio da parte di famiglie e convivenze
98.20.00,Produzione di servizi indifferenziati per uso proprio da parte di famiglie e convivenze
99.00.00,Attività di organizzazioni e organismi extraterritoriali
